,Metrics,Logistic Regression,Logistic Regression FFS,Logistic Regression BFS,Logistic Regression PCA(58),Logistic Regression PCA (29),Random Forest,Random Forest FFS,Random Forest BFS,Random Forest PCA(58),Random Forest PCA (29),XGBoost,XGBoost FFS,XGBoost BFS,XGBoost PCA(58),XGBoost PCA (29),Decision Tree,Decision Tree FFS,Decision Tree BFS,Decision Tree PCA(58),Decision Tree PCA (29),SVM,SVM FFS,SVM BFS,SVM PCA(58),SVM PCA (29),AdaBoost,Adaboost FFS,Adaboost BFS,Adaboost PCA(58),Adaboost PCA (29)
0,Accuracy,0.9459459459459459,0.9504504504504504,0.9414414414414415,0.9459459459459459,0.9369369369369369,0.9369369369369369,0.9279279279279279,0.9234234234234234,0.9234234234234234,0.9234234234234234,0.9459459459459459,0.918918918918919,0.9234234234234234,0.918918918918919,0.9279279279279279,0.9144144144144144,0.8513513513513513,0.8918918918918919,0.9009009009009009,0.8828828828828829,0.9054054054054054,0.9234234234234234,0.9144144144144144,0.9054054054054054,0.9414414414414415,0.9324324324324325,0.9459459459459459,0.9234234234234234,0.9009009009009009,0.9144144144144144
1,Precision,0.956140350877193,0.9565217391304348,0.9478260869565217,0.956140350877193,0.9553571428571429,0.9636363636363636,0.9464285714285714,0.9459459459459459,0.9024390243902439,0.9024390243902439,0.940677966101695,0.9224137931034483,0.9230769230769231,0.9224137931034483,0.9385964912280702,0.9145299145299145,0.8807339449541285,0.896551724137931,0.9051724137931034,0.8571428571428571,0.8861788617886179,0.896,0.9008264462809917,0.8861788617886179,0.9557522123893806,0.9173553719008265,0.9482758620689655,0.9090909090909091,0.9051724137931034,0.8943089430894309
2,Recall,0.9396551724137931,0.9482758620689655,0.9396551724137931,0.9396551724137931,0.9224137931034483,0.9137931034482759,0.9137931034482759,0.9051724137931034,0.9568965517241379,0.9568965517241379,0.9568965517241379,0.9224137931034483,0.9310344827586207,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.8275862068965517,0.896551724137931,0.9051724137931034,0.9310344827586207,0.9396551724137931,0.9655172413793104,0.9396551724137931,0.9396551724137931,0.9310344827586207,0.9568965517241379,0.9482758620689655,0.9482758620689655,0.9051724137931034,0.9482758620689655
3,F1Score,0.9478260869565217,0.9523809523809523,0.9437229437229439,0.9478260869565217,0.9385964912280702,0.9380530973451328,0.9298245614035087,0.9251101321585904,0.9288702928870294,0.9288702928870294,0.9487179487179486,0.9224137931034483,0.927038626609442,0.9224137931034483,0.9304347826086956,0.9184549356223175,0.8533333333333335,0.896551724137931,0.9051724137931035,0.8925619834710743,0.9121338912133892,0.9294605809128631,0.9198312236286921,0.9121338912133892,0.943231441048035,0.9367088607594937,0.9482758620689655,0.9282700421940928,0.9051724137931035,0.9205020920502092
4,ROC AUC,0.9462426805465192,0.9505530253741055,0.9415256994144438,0.9462426805465192,0.9376219908913468,0.938028627195836,0.9285946649316851,0.9242843201040989,0.9218445022771633,0.9218445022771633,0.9454294079375406,0.9187540663630449,0.9230644111906311,0.9187540663630449,0.928188028627196,0.9140370852309695,0.8524723487312947,0.8916720884840599,0.9006994144437216,0.8806115810019518,0.90378985035784,0.9214378659726742,0.9132238126219909,0.90378985035784,0.9419323357189329,0.9312784645413142,0.9458360442420299,0.9222511385816526,0.9006994144437216,0.9128171763175016
5,Standard Dev,0.008240966164375432,0.02351173912507856,0.023946489351456192,0.008240966164375432,0.022763820885860365,0.008240966164375432,0.011300979722032353,0.015989191852184347,0.030717937916817442,0.026037265174693142,0.015349726313566469,0.014697490637990742,0.013743558316630518,0.015459820063449762,0.015683779838220106,0.003535889858203052,0.02809695078693801,0.023442628895183146,0.014976730118610334,0.013031326667093073,0.01952517070733639,0.022041069742782308,0.012541183804434402,0.01952517070733639,0.022310860608327283,0.010142029796851084,0.01417069415854641,0.023119699423292797,0.018460797620664156,0.029951831085606513
