,Metrics,MobileNetV3 Small,MobileNetV3 Large,EfficientNetV2B0,DenseNet121,ResNet50V2,InceptionV3,Xception,InceptionResNetV2
0,Accuracy,0.9914338557383432,0.9977611213861579,0.9976637788377299,0.9523021512703203,0.854278205003407,0.8323761316071254,0.8842597099192057,0.5180570427333787
1,Precision,0.9899254483175499,0.9987854251012146,0.9967735430530349,0.9665341978665551,0.8353398058252427,0.864200315813219,0.9534715525554484,0.0
2,Recall,0.9923247828721471,0.9965663502322764,0.9983841648151889,0.9333467986265401,0.8689153706321955,0.7737830741264391,0.798828519491012,0.0
3,F1Score,0.9911236635061529,0.9976746537256092,0.9975782038345105,0.9496506370735719,0.8517968517968516,0.8164961636828645,0.8693262995933619,0.0
4,ROC AUC,0.9914649092865058,0.9977194772581901,0.9976888881197327,0.9516414564346529,0.8547883880594274,0.8303338519824229,0.881281978648174,0.5
