,Metrics,MobileNetV3 Small,MobileNetV3 Large,NASNetMobile,EfficientNetB0,EfficientNetV2B0,DenseNet121,ResNet50,ResNet50V2,InceptionV3,Xception,InceptionResNetV2,VGG16
0,Accuracy,0.9984426708195445,0.9976640062293167,0.9811173836869769,0.9811173836869769,0.9990266692622153,0.9918240218026085,0.9992213354097722,0.8937122834339108,0.9174615534358576,0.9493868016351956,0.51781195250146,0.9964960093439751
1,Precision,0.9995951417004049,0.997978981406629,0.9833401056481105,0.9833401056481105,1.0,0.9903303787268332,0.9995957962813258,0.9102891156462585,0.9736842105263158,0.9821583986074848,0.0,0.9967663702506063
2,Recall,0.997172859450727,0.997172859450727,0.9773828756058158,0.9773828756058158,0.9979806138933764,0.9927302100161551,0.9987883683360258,0.8647011308562197,0.8517770597738288,0.9115508885298869,0.0,0.9959612277867528
3,F1Score,0.9983825313384552,0.9975757575757576,0.980352440753494,0.980352440753494,0.998989286436224,0.9915288422751111,0.9991919191919193,0.8869096934548467,0.9086600603188281,0.9455383326351069,0.0,0.9963636363636363
4,ROC AUC,0.9983985304393808,0.99764693329545,0.9809875670776167,0.9809875670776167,0.9989903069466882,0.9918555221444925,0.9992062848820302,0.8927038160857573,0.9151782705858997,0.9480715735396523,0.49981210071401727,0.9964774196055147
