,Metrics,Logistic Regression,Logistic Regression Hyp,Logistic Regression FFS,Logistic Regression FFS Hyp,Logistic Regression BFS,Logistic Regression BFS Hyp,Logistic Regression PCA(58),Logistic Regression PCA(58) Hyp,Logistic Regression PCA (29),Logistic Regression PCA(29) Hyp,Random Forest,Random Forest Hyp,Random Forest FFS,Random Forest FFS Hyp,Random Forest BFS,Random Forest BFS Hyp,Random Forest PCA(58),Random Forest PCA(58) Hyp,Random Forest PCA (29),Random Forest PCA(29) Hyp,XGBoost,XGBoost Hyp,XGBoost FFS,XGBoost FFS Hyp,XGBoost BFS,XGBoost BFS Hyp,XGBoost PCA(58),XGBoost PCA(58) Hyp,XGBoost PCA (29),XGBoost PCA(29) Hyp,Decision Tree,Decision Tree Hyp,Decision Tree FFS,Decision Tree FFS Hyp,Decision Tree BFS,Decision Tree BFS Hyp,Decision Tree PCA(58),Decision Tree PCA(58) Hyp,Decision Tree PCA (29),Decision Tree PCA(29) Hyp,SVM,SVM Hyp,SVM FFS,SVM FFS Hyp,SVM BFS,SVM BFS Hyp,SVM PCA(58),SVM PCA(58) Hyp,SVM PCA (29),SVM PCA(29) Hyp,AdaBoost,AdaBoost Hyp,Adaboost FFS,Adaboost FFS Hyp,Adaboost BFS,Adaboost BFS Hyp,Adaboost PCA(58),Adaboost PCA(58) Hyp,Adaboost PCA (29),Adaboost PCA(29) Hyp
0,Accuracy,0.9459459459459459,0.9459459459459459,0.9504504504504504,0.9414414414414415,0.9414414414414415,0.9369369369369369,0.9459459459459459,0.9054054054054054,0.9414414414414415,0.9369369369369369,0.9504504504504504,0.9459459459459459,0.9414414414414415,0.9459459459459459,0.9279279279279279,0.9234234234234234,0.9099099099099099,0.918918918918919,0.9144144144144144,0.9009009009009009,0.9459459459459459,0.9459459459459459,0.918918918918919,0.9144144144144144,0.9234234234234234,0.9459459459459459,0.918918918918919,0.9234234234234234,0.9234234234234234,0.8963963963963963,0.8963963963963963,0.8963963963963963,0.8198198198198198,0.8333333333333334,0.9054054054054054,0.8873873873873874,0.9009009009009009,0.8963963963963963,0.8783783783783784,0.8828828828828829,0.9054054054054054,0.9504504504504504,0.9234234234234234,0.9234234234234234,0.9144144144144144,0.9144144144144144,0.9054054054054054,0.9504504504504504,0.9504504504504504,0.9414414414414415,0.9324324324324325,0.9414414414414415,0.9459459459459459,0.9459459459459459,0.9234234234234234,0.9234234234234234,0.9009009009009009,0.9279279279279279,0.918918918918919,0.9144144144144144
1,Precision,0.956140350877193,0.956140350877193,0.9565217391304348,0.9401709401709402,0.9478260869565217,0.9396551724137931,0.956140350877193,0.8861788617886179,0.9557522123893806,0.9553571428571429,0.972972972972973,0.9482758620689655,0.9478260869565217,0.956140350877193,0.9385964912280702,0.9459459459459459,0.875,0.8951612903225806,0.8943089430894309,0.8916666666666667,0.940677966101695,0.9333333333333333,0.9224137931034483,0.9217391304347826,0.9230769230769231,0.956140350877193,0.9224137931034483,0.9159663865546218,0.9230769230769231,0.8974358974358975,0.8974358974358975,0.8907563025210085,0.8220338983050848,0.8495575221238938,0.9130434782608695,0.8823529411764706,0.9122807017543859,0.926605504587156,0.8677685950413223,0.9090909090909091,0.8861788617886179,0.9565217391304348,0.896,0.896,0.9008264462809917,0.9008264462809917,0.8861788617886179,0.9565217391304348,0.9565217391304348,0.9478260869565217,0.9173553719008265,0.9327731092436975,0.9482758620689655,0.9482758620689655,0.9090909090909091,0.9090909090909091,0.9051724137931034,0.9464285714285714,0.9298245614035088,0.9217391304347826
2,Recall,0.9396551724137931,0.9396551724137931,0.9482758620689655,0.9482758620689655,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9310344827586207,0.9224137931034483,0.9310344827586207,0.9482758620689655,0.9396551724137931,0.9396551724137931,0.9224137931034483,0.9051724137931034,0.9655172413793104,0.9568965517241379,0.9482758620689655,0.9224137931034483,0.9568965517241379,0.9655172413793104,0.9224137931034483,0.9137931034482759,0.9310344827586207,0.9396551724137931,0.9224137931034483,0.9396551724137931,0.9310344827586207,0.9051724137931034,0.9051724137931034,0.9137931034482759,0.8362068965517241,0.8275862068965517,0.9051724137931034,0.9051724137931034,0.896551724137931,0.8706896551724138,0.9051724137931034,0.8620689655172413,0.9396551724137931,0.9482758620689655,0.9655172413793104,0.9655172413793104,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9482758620689655,0.9482758620689655,0.9396551724137931,0.9568965517241379,0.9568965517241379,0.9482758620689655,0.9482758620689655,0.9482758620689655,0.9482758620689655,0.9051724137931034,0.9137931034482759,0.9137931034482759,0.9137931034482759
3,F1Score,0.9478260869565217,0.9478260869565217,0.9523809523809523,0.944206008583691,0.9437229437229439,0.9396551724137931,0.9478260869565217,0.9121338912133892,0.943231441048035,0.9385964912280702,0.9515418502202643,0.9482758620689655,0.9437229437229439,0.9478260869565217,0.9304347826086956,0.9251101321585904,0.9180327868852458,0.925,0.9205020920502092,0.9067796610169492,0.9487179487179486,0.9491525423728815,0.9224137931034483,0.9177489177489179,0.927038626609442,0.9478260869565217,0.9224137931034483,0.9276595744680851,0.927038626609442,0.9012875536480686,0.9012875536480686,0.9021276595744682,0.829059829059829,0.8384279475982533,0.9090909090909092,0.8936170212765958,0.9043478260869565,0.8977777777777779,0.8860759493670886,0.8849557522123893,0.9121338912133892,0.9523809523809523,0.9294605809128631,0.9294605809128631,0.9198312236286921,0.9198312236286921,0.9121338912133892,0.9523809523809523,0.9523809523809523,0.9437229437229439,0.9367088607594937,0.9446808510638298,0.9482758620689655,0.9482758620689655,0.9282700421940928,0.9282700421940928,0.9051724137931035,0.9298245614035087,0.9217391304347825,0.9177489177489179
4,ROC AUC,0.9462426805465192,0.9462426805465192,0.9505530253741055,0.9411190631099545,0.9415256994144438,0.9368087182823683,0.9462426805465192,0.90378985035784,0.9419323357189329,0.9376219908913468,0.9513662979830838,0.9458360442420299,0.9415256994144438,0.9462426805465192,0.928188028627196,0.9242843201040989,0.9072869225764477,0.9171275211450878,0.9128171763175016,0.899886141834743,0.9454294079375406,0.9450227716330515,0.9187540663630449,0.9144437215354587,0.9230644111906311,0.9462426805465192,0.9187540663630449,0.9226577748861419,0.9230644111906311,0.8959824333116461,0.8959824333116461,0.8955757970071567,0.8190468445022772,0.8336044242029929,0.905416395575797,0.8865484710474951,0.9011060507482108,0.8976089785296031,0.8771145087833443,0.883864671437866,0.90378985035784,0.9505530253741055,0.9214378659726742,0.9214378659726742,0.9132238126219909,0.9132238126219909,0.90378985035784,0.9505530253741055,0.9505530253741055,0.9415256994144438,0.9312784645413142,0.9407124268054652,0.9458360442420299,0.9458360442420299,0.9222511385816526,0.9222511385816526,0.9006994144437216,0.9285946649316851,0.9191607026675341,0.9144437215354587
5,Standard Dev,0.008240966164375432,0.01960822555796354,0.02351173912507856,0.02371198410213182,0.023946489351456192,0.02451141966996286,0.008240966164375432,0.01129289210010301,0.021142258511774255,0.018285976125372527,0.008240966164375432,0.023610831680973415,0.021145978074537428,0.015903721269094076,0.014633243686210502,0.032315393046733316,0.017120407058868893,0.025058606934774026,0.017583406380835366,0.01529234560492486,0.015349726313566469,0.010251791033381853,0.014697490637990742,0.016162984799384692,0.013743558316630518,0.015402883198800454,0.015459820063449762,0.023903690484526067,0.01745232116145733,0.016794947511802574,0.009988333470925983,0.02037022592042722,0.022868254737588467,0.03319357842792939,0.016365297986514198,0.017027369602541826,0.03329090710239663,0.017606906036117417,0.020548498640579324,0.0196922218604073,0.01952517070733639,0.0266733609336645,0.022041069742782308,0.022041069742782308,0.012541183804434402,0.012541183804434402,0.01952517070733639,0.023601166603697824,0.018772341728229152,0.024476290715073963,0.010142029796851084,0.013388136470962006,0.01417069415854641,0.01417069415854641,0.023119699423292797,0.023119699423292797,0.018460797620664156,0.014708382946070011,0.021290022120460873,0.012183686349110498
